Vbattery, sensor current, sma current, sma Vbattery, error, sma error, timestamp, time, electronic load voltage, electronic load current
3.5801437334495523,-0.261240131977245,-2.827001557474842,3.5966755853151695,0.0007733229629536153,0.0008196044327062999,2022-07-06-15-01-06,12040.079533100128,3.448526,2.599958
3.580308023069737,-0.2591043953053092,-2.8268252326798455,3.5963436870500773,0.0007666849964054111,0.0008185651531124148,2022-07-06-15-01-07,12041.17453789711,3.4482,2.59995
3.5801437334495523,-0.26091155710439945,-2.8262374833615063,3.596010129293872,0.0007683444875183865,0.0008175593985998334,2022-07-06-15-01-08,12042.266099214554,3.447889,2.599982
3.5798151542098084,-0.26304729377946123,-2.8266684995275404,3.595683209504635,0.0007617065205509845,0.0008164027812163594,2022-07-06-15-01-09,12043.361540794373,3.447534,2.599998
3.579979443829576,-0.2635401560896176,-2.8268644159668814,3.5953645871725883,0.000756728045577595,0.0008152126387681652,2022-07-06-15-01-11,12044.452150821686,3.447164,2.59999
3.5789937061141006,-0.26222585659630676,-2.827001557474302,3.595027710436312,0.0007583875345905487,0.0008139722086768209,2022-07-06-15-01-12,12045.54515337944,3.446882,2.600014
3.5783365476412894,-0.26222585659630676,-2.8267664577469973,3.594695812176301,0.0007534090583260573,0.0008126982535188867,2022-07-06-15-01-13,12046.653446912766,3.446542,2.599998
3.5780079684061343,-0.26288300634278644,-2.826864415966648,3.594360594934117,0.0007567280404993407,0.0008116757365136718,2022-07-06-15-01-14,12047.74861240387,3.446202,2.59999
3.577350809938328,-0.2648544555843369,-2.826648907882837,3.5940270371851444,0.000755068547287039,0.0008107370322396263,2022-07-06-15-01-15,12048.845122814178,3.445846,2.599982
3.577022230705675,-0.2592686827414812,-2.8267860493899293,3.5936851819795104,0.0007534090549212836,0.0008097648028841134,2022-07-06-15-01-16,12049.951386451721,3.44555,2.600054
3.5763650722428717,-0.26288300634278644,-2.8269035992535025,3.5933350293180966,0.0007583875276831806,0.0008088763862253441,2022-07-06-15-01-17,12051.041406869888,3.445209,2.59995
3.57652936185826,-0.26091155710439945,-2.826374624867103,3.5930047905542284,0.0007417926122673702,0.0008077365314810568,2022-07-06-15-01-18,12052.135122299194,3.444884,2.599894
3.5763650722428717,-0.2623901440328938,-2.8260415669199332,3.592679530265224,0.000736814137402814,0.0008065631516733942,2022-07-06-15-01-19,12053.25505399704,3.444528,2.599958
3.577350809938328,-0.2637044435263804,-2.8259044254122196,3.59235261048224,0.0007351546434233504,0.000805406534418447,2022-07-06-15-01-20,12054.368526697159,3.444158,2.59995
3.577022230705675,-0.2618972817231986,-2.8261787084268586,3.592033988157506,0.0007268571851731472,0.0008041828670275392,2022-07-06-15-01-22,12055.480314970016,3.443818,2.599958
3.5752150449409887,-0.26288300634278644,-2.826061158563191,3.591698770922586,0.0007434520953596861,0.0008034117882496653,2022-07-06-15-01-23,12056.577769756317,3.443522,2.599958
3.5745578864873546,-0.26058298223164134,-2.8257672839043946,3.5913519372490503,0.0007451115851005604,0.0008027580472718636,2022-07-06-15-01-24,12057.695670604706,3.443137,2.600006
3.5743935968744664,-0.26288300634278644,-2.8257085089725726,3.5910316554393673,0.0007185597212481927,0.000801567905012697,2022-07-06-15-01-25,12058.810111045837,3.442826,2.599966
3.574886465713755,-0.26173299428667735,-2.8257476922604043,3.590698097696772,0.000705283788336059,0.0008003274751880421,2022-07-06-15-01-26,12059.917489051819,3.44247,2.599974
3.5740650176493163,-0.260418694795295,-2.825316676094026,3.59036951843067,0.0007003053118441895,0.0007989361824900088,2022-07-06-15-01-27,12061.028670787811,3.442115,2.60003
3.5737364384249983,-0.26058298223164134,-2.825610550752235,3.590044258148296,0.0006969863281148668,0.0007975113647206066,2022-07-06-15-01-28,12062.129957437515,3.441819,2.599966
3.5727507007570436,-0.26567589276925396,-2.826394216509394,3.5897073814283362,0.0007052837828107235,0.0007963547476130108,2022-07-06-15-01-29,12063.244220972061,3.441493,2.599982
3.5735721488131515,-0.2635401560896176,-2.8265705413048137,3.589380461654933,0.0007119217464778249,0.0007953322308232217,2022-07-06-15-01-30,12064.385305404663,3.441123,2.599974
3.572914990367849,-0.2620615691597417,-2.8264921747290983,3.589048563408879,0.0007169002191288162,0.0007944270518162856,2022-07-06-15-01-32,12065.496606111526,3.440768,2.59999
3.5740650176493163,-0.26584018020630373,-2.8270015574717955,3.588739898040054,0.0007169002162739596,0.0007936224480735702,2022-07-06-15-01-33,12066.618404626846,3.440428,2.599982
3.571764963096584,-0.25976154505012783,-2.8266684995253377,3.5884030213226668,0.0007351546162532594,0.000792985469677896,2022-07-06-15-01-34,12067.740737915039,3.440101,2.599982
3.572257831925877,-0.26173299428667735,-2.826119933494593,3.588082739518286,0.0007285166492944521,0.000792281441140166,2022-07-06-15-01-35,12068.866524219513,3.439761,2.599974
3.5712720942691645,-0.26600446764337565,-2.826590132949517,3.5877425438193273,0.0007285166467722497,0.0007915103624268612,2022-07-06-15-01-36,12069.995056152344,3.439406,2.599998
3.570614935835519,-0.2614044194137006,-2.8264725830859914,3.5874106455791885,0.0007202191879527152,0.000790521370685541,2022-07-06-15-01-37,12071.11722779274,3.439065,2.59999
3.5709435150519253,-0.2618972817231986,-2.825904425411177,3.5870920232694683,0.0007135812215016006,0.0007895156164350614,2022-07-06-15-01-38,12072.242650270462,3.438695,2.600014
3.570286356619944,-0.26304729377946123,-2.826178708426072,3.5867584655387645,0.0007119217284371268,0.0007884092869311642,2022-07-06-15-01-39,12073.38870716095,3.438369,2.599942
3.569464908584649,-0.2637044435263804,-2.8263158499336574,3.586413291370334,0.0007169002005147004,0.0007874202952064898,2022-07-06-15-01-41,12074.495355129242,3.438029,2.600014
3.569136329371987,-0.2607472696680095,-2.826139525138426,3.586083052625388,0.0007019647770315731,0.0007862133904898967,2022-07-06-15-01-42,12075.619657278061,3.437703,2.59999
3.568643460554554,-0.2648544555843369,-2.8266489078807147,3.585741197441956,0.0007003052843540088,0.0007850400108687972,2022-07-06-15-01-43,12076.749912023544,3.437348,2.599958
3.568150591738992,-0.258282958124775,-2.8258456504801086,3.58540929920815,0.0006903483347291047,0.0007836822433192417,2022-07-06-15-01-44,12077.862691640854,3.437007,2.599982
3.568150591738992,-0.2614044194137006,-2.825630142396904,3.585067444026024,0.0006803913864086118,0.0007821233252985652,2022-07-06-15-01-45,12078.977779626846,3.436651,2.599942
3.568643460554554,-0.2595972576138905,-2.82467015184342,3.584745502739234,0.0006704344368409638,0.0007803297317201025,2022-07-06-15-01-46,12080.091030359268,3.436311,2.599974
3.568150591738992,-0.2661687550804698,-2.8252970844497325,3.584420242470932,0.0006737534183524557,0.000778703763558131,2022-07-06-15-01-47,12081.184123754501,3.435971,2.599958
3.5674934333211548,-0.261240131977245,-2.8249248432149585,3.584075068307771,0.000667115451125894,0.0007769269325383391,2022-07-06-15-01-48,12082.278109073639,3.435674,2.59987
3.568643460554554,-0.26173299428667735,-2.8249052515710384,3.583751467529606,0.000668774939531845,0.0007751165764223412,2022-07-06-15-01-49,12083.402179956436,3.435334,2.59995
3.567164854113483,-0.25894010786915894,-2.8245721936248014,3.5834212287896987,0.0006754129012742817,0.0007733732704464664,2022-07-06-15-01-51,12084.508864164352,3.434994,2.599974
3.5661791164954577,-0.2661687550804698,-2.824787701708526,3.5830909900523102,0.0006754128987557666,0.0007716299644716083,2022-07-06-15-01-52,12085.617117881775,3.434623,2.599982
3.566507695700635,-0.2610758445408113,-2.8244546437617117,3.5827491348745304,0.0006637964583649228,0.0007698196083822603,2022-07-06-15-01-53,12086.724750518799,3.434268,2.599998
