Vcell, sensor current, smooth current, timestamp, time, supply voltage, supply current, temperature
4.059212539553041,0.08032159568054992,1.2270367119262642,2022-02-08-12-27-28,824.4031682014465,4.14,1.301,19.57
4.059376830553269,0.08032159568054992,1.2263510085560112,2022-02-08-12-27-29,824.9488880634308,4.14,1.301,19.57
4.059212539553041,0.07966444992813711,1.2259395865341087,2022-02-08-12-27-30,825.495178937912,4.14,1.301,19.57
4.059212539553041,0.07950016349005606,1.2250775594404588,2022-02-08-12-27-30,826.0400187969208,4.14,1.301,19.57
4.059541121553864,0.0818001736240012,1.2255673475621343,2022-02-08-12-27-31,826.5871679782867,4.14,1.301,19.57
4.060033994557859,0.08081445499495299,1.2257044882362156,2022-02-08-12-27-31,827.149420261383,4.14,1.301,19.57
4.059541121553864,0.08147160074761581,1.2260179526343002,2022-02-08-12-27-32,827.6907398700714,4.14,1.301,19.57
4.059376830553269,0.07769301267174411,1.2257044882364665,2022-02-08-12-27-32,828.2041118144989,4.14,1.301,19.57
4.058883957553689,0.07884301773782001,1.2253910238386445,2022-02-08-12-27-33,828.7192888259888,4.14,1.301,19.57
4.059705412554829,0.07867873129978296,1.2247053204684204,2022-02-08-12-27-33,829.2646427154541,4.14,1.301,19.57
4.059705412554829,0.08114302787126643,1.2243918560705098,2022-02-08-12-27-34,829.8140368461609,4.14,1.301,19.57
4.059212539553041,0.08212874650042275,1.22458777131916,2022-02-08-12-27-34,830.3437864780426,4.14,1.301,19.57
4.059541121553864,0.08377161088307701,1.224372264545767,2022-02-08-12-27-35,830.888081073761,4.14,1.301,19.57
4.060033994557859,0.08360732444477036,1.2247836865678028,2022-02-08-12-27-35,831.4504609107971,4.14,1.301,19.57
4.060198285559927,0.08048588211867536,1.2256065306122292,2022-02-08-12-27-36,831.9932312965393,4.14,1.301,19.57
4.059869703556159,0.08081445499495299,1.2258024458609844,2022-02-08-12-27-37,832.5203437805176,4.14,1.301,19.57
4.060362576562361,0.08262160581512314,1.226429374656411,2022-02-08-12-27-37,833.0538995265961,4.14,1.301,19.57
4.060526867565164,0.07769301267174411,1.2257044882365848,2022-02-08-12-27-38,833.5668981075287,4.14,1.301,19.57
4.060362576562361,0.08114302787126643,1.2255477560377186,2022-02-08-12-27-38,834.083024263382,4.14,1.301,19.57
4.061184031580057,0.08015730924243339,1.224626954369444,2022-02-08-12-27-39,834.6126370429993,4.14,1.301,19.57
4.060855449571874,0.07835015842373513,1.2234514628778892,2022-02-08-12-27-39,835.1569318771362,4.14,1.301,19.57
4.060855449571874,0.07933587705198383,1.2234710544024638,2022-02-08-12-27-40,835.7000615596771,4.14,1.301,19.57
4.060691158568336,0.07917159061392043,1.2230792239052337,2022-02-08-12-27-40,836.2475018501282,4.14,1.301,19.57
