Vcell1, current, time, supply voltage, supply current, temperature
4.164523146796286,0.033171388248215805,2022_02_03_11_37_13,4.2,0.629,18.58
4.164358855557615,0.03004994596170628,2022_02_03_11_37_14,4.2,0.628,18.58
4.164358855557615,0.02774993585687254,2022_02_03_11_37_15,4.2,0.628,18.58
4.164523146796286,0.031199951014441868,2022_02_03_11_37_16,4.2,0.627,18.58
4.164194564319322,0.028078508728940736,2022_02_03_11_37_17,4.2,0.626,18.58
4.164687438035334,0.03037851883389437,2022_02_03_11_37_18,4.2,0.626,18.58
4.164523146796286,0.03004994596170628,2022_02_03_11_37_19,4.2,0.625,18.58
4.165016020514561,0.029885659525618797,2022_02_03_11_37_20,4.2,0.625,18.58
4.165016020514561,0.0267642172407674,2022_02_03_11_37_22,4.2,0.624,18.58
4.165016020514561,0.03004994596170628,2022_02_03_11_37_23,4.2,0.623,18.58
4.164687438035334,0.029064227345246434,2022_02_03_11_37_24,4.2,0.622,18.58
4.165344602995299,0.028242795164981117,2022_02_03_11_37_25,4.2,0.622,18.58
4.165016020514561,0.032021383195101234,2022_02_03_11_37_26,4.2,0.622,18.58
4.1651803117547415,0.029557086653456886,2022_02_03_11_37_27,4.2,0.621,18.58
4.164687438035334,0.027585649420844696,2022_02_03_11_37_28,4.2,0.62,18.58
4.164687438035334,0.03185709675896033,2022_02_03_11_37_29,4.2,0.619,18.58
4.165016020514561,0.03004994596170628,2022_02_03_11_37_30,4.2,0.619,18.58
4.164851729274759,0.029392800217382428,2022_02_03_11_37_32,4.2,0.618,18.58
4.165344602995299,0.029228513781312283,2022_02_03_11_37_33,4.2,0.617,18.58
4.165016020514561,0.027257076548801433,2022_02_03_11_37_34,4.2,0.617,18.58
4.165016020514561,0.027257076548801433,2022_02_03_11_37_35,4.2,0.616,18.58
4.1655088942362335,0.025942785060791968,2022_02_03_11_37_36,4.2,0.616,18.58
4.1655088942362335,0.033007101812042736,2022_02_03_11_37_37,4.2,0.615,18.58
4.165344602995299,0.028735654473127564,2022_02_03_11_37_38,4.2,0.614,18.58
4.165837476719235,0.02791422229290455,2022_02_03_11_37_39,4.2,0.613,18.58
4.165344602995299,0.03037851883389437,2022_02_03_11_37_40,4.2,0.612,18.58
4.1651803117547415,0.03169281032282394,2022_02_03_11_37_42,4.2,0.612,18.58
4.1651803117547415,0.03103566457832348,2022_02_03_11_37_43,4.2,0.611,18.58
4.165344602995299,0.028407081601025702,2022_02_03_11_37_44,4.2,0.61,18.58
4.1655088942362335,0.028078508728940736,2022_02_03_11_37_45,4.2,0.611,18.58
4.165673185477546,0.028571368037074517,2022_02_03_11_37_46,4.2,0.61,18.58
4.1655088942362335,0.024792780008993966,2022_02_03_11_37_47,4.2,0.609,18.58
